segment                                   peek  keep  take  seal  free
spin_129                                     0     0     0     0     0
spin_128                                     0     0     0     0     0
spin_127                                     0     0     0     0     0
spin_126                                     1     0     0     0     0
spin_125                                     0     0     0     0     0
spin_122                                     0     0     0     0     0
spin_120                                     0     0     0     0     0
spin_119                                     0     0     0     0     0
spin_117                                     0     0     0     0     0
spin_116                                     0     0     0     0     0
spin_115                                     0     0     0     0     0
spin_114                                     0     0     0     0     0
spin_113                                     1     0     0     0     0
spin_112                                     0     0     0     0     0
spin_111                                     0     0     0     0     0
spin_110                                     0     0     0     0     0
spin_109                                     0     0     0     0     0
spin_107                                     1     0     0     0     0
spin_106                                     0     0     0     0     0
spin_102                                     0     0     0     0     0
spin_100                                     2     0     0     0     0
spin_10                                      1     0     0     0     0
spin_1                                       0     0     0     0     0
FID_U32_SHOW                                 0     0     0     0     0
FID_TEXT_KT_PUT                              0     0     0     0     0
FID_STRING_TAKE                              1     0     0     0     0
FID_STRING_REPEAT_K408                       0     0     0     0     0
FID_STRING_ORDER_K925                        0     0     0     0     0
FID_STRING_ORDER                             0     0     0     0     0
FID_STRING_IS_LE_K1049                       0     0     0     0     0
FID_STRING_IS_LE                             0     0     0     0     0
FID_STRING_IS_GT_K1056                       0     0     0     0     0
FID_STRING_IS_GT                             0     0     0     0     0
FID_STRING_CMP_K776                          0     0     0     0     0
